# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Sep 21 19:02:55 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.1
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Attention: photometry includes extinction of Av=0.001, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 6.60000 1.0000000000 2.4729156494    1.000 -0.115  3.6450  4.086    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.43e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 5.059 5.247 5.916 5.965 4.475
0.02 0.14251 6.60000 1.0396071672 2.4808447361    1.039 -0.086  3.6489  4.088    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.37e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.984 5.151 5.804 5.852 4.391
0.02 0.14251 6.60000 1.0499999523 2.4828116894    1.050 -0.078  3.6499  4.088    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.964 5.126 5.774 5.822 4.368
0.02 0.14251 6.60000 1.0896869898 2.4899275303    1.089 -0.049  3.6538  4.091    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.27e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.892 5.035 5.669 5.717 4.289
0.02 0.14251 6.60000 1.1000000238 2.4916803837    1.099 -0.040  3.6548  4.091    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.27e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.870 5.009 5.638 5.686 4.265
0.02 0.14251 6.60000 1.1499999762 2.4996678829    1.149 -0.002  3.6597  4.092    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.18e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.776 4.891 5.502 5.549 4.161
0.02 0.14251 6.60000 1.2000000477 2.5068950653    1.200  0.034  3.6645  4.093    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.04e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.684 4.779 5.373 5.419 4.062
0.02 0.14251 6.60000 1.2500000000 2.5134611130    1.250  0.071  3.6693  4.093    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.593 4.668 5.245 5.291 3.964
0.02 0.14251 6.60000 1.2999999523 2.5194499493    1.300  0.111  3.6742  4.090    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.71e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.493 4.550 5.111 5.157 3.859
0.02 0.14251 6.60000 1.3500000238 2.5249314308    1.350  0.145  3.6787  4.090    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.408 4.448 4.994 5.039 3.768
0.02 0.14251 6.60000 1.3889448643 2.5288879871    1.389  0.172  3.6822  4.089    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.339 4.368 4.903 4.947 3.696
0.02 0.14251 6.60000 1.3999999762 2.5299651623    1.400  0.182  3.6833  4.088    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.316 4.341 4.873 4.917 3.672
0.02 0.14251 6.60000 1.4500000477 2.5346016884    1.450  0.222  3.6881  4.082    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.86e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.215 4.224 4.742 4.785 3.567
0.02 0.14251 6.60000 1.5000000000 2.5388846397    1.500  0.258  3.6926  4.079    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.126 4.122 4.626 4.669 3.476
0.02 0.14251 6.60000 1.5028887987 2.5391221046    1.503  0.259  3.6929  4.079    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.122 4.117 4.620 4.663 3.471
0.02 0.14251 6.60000 1.5499999523 2.5428512096    1.550  0.293  3.6971  4.076    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 4.037 4.020 4.512 4.554 3.385
0.02 0.14251 6.60000 1.6000000238 2.5465342999    1.600  0.334  3.7019  4.068    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-14      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 3.936 3.906 4.385 4.426 3.283
0.02 0.14251 6.60000 1.6499999762 2.5499615669    1.649  0.371  3.7065  4.062    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.68e-15      0.00 6.960e-01 2.840e-01 3.549e-03 9.690e-04 8.801e-03 -1.000 2.000e-02 3.842 3.801 4.267 4.308 3.187
