# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Sep 22 07:47:09 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.1
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Attention: photometry includes extinction of Av=0.001, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 8.90000 0.9287174940 2.4566669464    0.928 -0.304  3.7275  4.572    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-14      0.00 7.004e-01 2.798e-01 3.501e-03 9.560e-04 8.685e-03 -1.000 1.975e-02 5.531 5.442 5.867 5.904 4.868
0.02 0.14251 8.90000 0.9499999881 2.4618122578    0.950 -0.257  3.7342  4.561    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-14      0.00 7.007e-01 2.795e-01 3.498e-03 9.553e-04 8.678e-03 -1.000 1.976e-02 5.413 5.312 5.721 5.757 4.753
0.02 0.14251 8.90000 1.0000000000 2.4729156494    1.000 -0.147  3.7488  4.532    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-14      0.00 7.016e-01 2.788e-01 3.490e-03 9.530e-04 8.657e-03 -1.000 1.966e-02 5.138 5.018 5.392 5.425 4.493
0.02 0.14251 8.90000 1.0499999523 2.4828116894    1.050 -0.042  3.7618  4.501    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -2.9e-14      0.00 7.027e-01 2.777e-01 3.478e-03 9.498e-04 8.629e-03 -1.000 1.958e-02 4.876 4.744 5.088 5.118 4.249
0.02 0.14251 8.90000 1.0895420313 2.4899024963    1.089  0.038  3.7712  4.474    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.32e-14      0.00 7.040e-01 2.765e-01 3.464e-03 9.462e-04 8.596e-03 -1.000 1.950e-02 4.674 4.537 4.859 4.887 4.065
0.02 0.14251 8.90000 1.1000000238 2.4916803837    1.099  0.059  3.7736  4.466    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.43e-14      0.00 7.044e-01 2.762e-01 3.460e-03 9.451e-04 8.586e-03 -1.000 1.948e-02 4.622 4.484 4.801 4.828 4.017
0.02 0.14251 8.90000 1.1499999762 2.4996678829    1.149  0.157  3.7844  4.431    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.02e-14      0.00 7.070e-01 2.736e-01 3.432e-03 9.376e-04 8.519e-03 -1.000 1.934e-02 4.377 4.236 4.528 4.553 3.795
0.02 0.14251 8.90000 1.1740266085 2.5032291412    1.173  0.204  3.7893  4.412    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.33e-14      0.00 7.090e-01 2.717e-01 3.413e-03 9.326e-04 8.474e-03 -1.000 1.928e-02 4.259 4.117 4.400 4.423 3.689
0.02 0.14251 8.90000 1.2000000477 2.5068950653    1.200  0.252  3.7944  4.395    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.64e-14      0.00 7.103e-01 2.705e-01 3.401e-03 9.292e-04 8.445e-03 -1.000 1.922e-02 4.140 3.998 4.270 4.292 3.582
0.02 0.14251 8.90000 1.2076975107 2.5079467297    1.207  0.267  3.7960  4.389    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.74e-14      0.00 7.107e-01 2.701e-01 3.398e-03 9.284e-04 8.437e-03 -1.000 1.920e-02 4.102 3.960 4.228 4.250 3.548
